price_date,province_id,province_name,commodity_name,price,price_change,price_change_text,percentage_change,previous_date_text,source
2025-09-01,1,Aceh,Bawang Merah,49150.0,-850.0,-Rp850,-1.7,29 Agt 25,PIHPS Bank Indonesia
2025-10-01,1,Aceh,Bawang Merah,37000.0,-1100.0,-Rp1100,-2.89,30 Sep 25,PIHPS Bank Indonesia
2025-10-31,1,Aceh,Bawang Merah,36400.0,150.0,Rp150,0.41,30 Okt 25,PIHPS Bank Indonesia
2025-12-01,1,Aceh,Bawang Merah,47650.0,5900.0,Rp5900,14.13,28 Nov 25,PIHPS Bank Indonesia
2026-01-01,1,Aceh,Bawang Merah,48000.0,0.0,Rp0,0.0,31 Des 25,PIHPS Bank Indonesia
2026-01-30,1,Aceh,Bawang Merah,36100.0,-550.0,-Rp550,-1.5,29 Jan 26,PIHPS Bank Indonesia
2026-02-27,1,Aceh,Bawang Merah,37600.0,250.0,Rp250,0.67,26 Feb 26,PIHPS Bank Indonesia
2026-04-01,1,Aceh,Bawang Merah,39400.0,-600.0,-Rp600,-1.5,31 Mar 26,PIHPS Bank Indonesia
2026-05-01,1,Aceh,Bawang Merah,37150.0,0.0,Rp0,0.0,30 Apr 26,PIHPS Bank Indonesia
2026-06-01,1,Aceh,Bawang Merah,45350.0,0.0,Rp0,0.0,29 Mei 26,PIHPS Bank Indonesia
2025-09-01,17,Bali,Bawang Merah,37700.0,-2200.0,-Rp2200,-5.51,29 Agt 25,PIHPS Bank Indonesia
2025-10-01,17,Bali,Bawang Merah,31650.0,150.0,Rp150,0.48,30 Sep 25,PIHPS Bank Indonesia
2025-10-31,17,Bali,Bawang Merah,37200.0,500.0,Rp500,1.36,30 Okt 25,PIHPS Bank Indonesia
2025-12-01,17,Bali,Bawang Merah,45450.0,1750.0,Rp1750,4.0,28 Nov 25,PIHPS Bank Indonesia
2026-01-01,17,Bali,Bawang Merah,46550.0,0.0,Rp0,0.0,31 Des 25,PIHPS Bank Indonesia
2026-01-30,17,Bali,Bawang Merah,34650.0,-300.0,-Rp300,-0.86,29 Jan 26,PIHPS Bank Indonesia
2026-02-27,17,Bali,Bawang Merah,37900.0,-250.0,-Rp250,-0.66,26 Feb 26,PIHPS Bank Indonesia
2026-04-01,17,Bali,Bawang Merah,44500.0,200.0,Rp200,0.45,31 Mar 26,PIHPS Bank Indonesia
2026-05-01,17,Bali,Bawang Merah,36750.0,0.0,Rp0,0.0,30 Apr 26,PIHPS Bank Indonesia
2026-06-01,17,Bali,Bawang Merah,43450.0,700.0,Rp700,1.64,29 Mei 26,PIHPS Bank Indonesia
2025-09-01,11,Banten,Bawang Merah,40500.0,0.0,Rp0,0.0,29 Agt 25,PIHPS Bank Indonesia
2025-10-01,11,Banten,Bawang Merah,39750.0,0.0,Rp0,0.0,30 Sep 25,PIHPS Bank Indonesia
2025-10-31,11,Banten,Bawang Merah,46900.0,1650.0,Rp1650,3.65,30 Okt 25,PIHPS Bank Indonesia
